,Reporting Period,Utility,Accounts,Accounts Disconnected,Account Disconnection Rate,Accounts Disconnected between 24 and 48 Hours,Accounts Reconnected in <24 Hours,Accounts Disconnected for >48 Hours,Accounts Disconnected Multiple Times,Accounts Notified Before Disconnection,Accounts in 30+ Day Arrears,Accounts in 30-60 Day Arrears,Accounts in 60+ Day Arrears,Percentage of Accounts in 30-60 Day Arrears,Percentage of Accounts in 60+ Day Arrears,Percentage of Accounts in 30+ Day Arrears,Average Balance of 30-60 Day Arrears,Average Balance of 60+ Day Arrears,Average Balance of 30+ Day Arrears,Total Balance of 30+ Day Arrears,Total Balance of 30-60 Day Arrears,Total Balance of 60+ Day Arrears,Accounts Past Due or Delinquent,Percentage of Accounts Past Due or Delinquent,Accounts on Repayment Plans,Accounts in Good Standing on Repayment Plans,Average Balance of Repayment Plans,Total Balance of Repayment Plans,Vulnerable Accounts,Vulnerable Accounts Disconnected
0,2024-08-01,Duke Energy Progress,1357664.0,5494.0,0.0040466566101774,137.0,305.0,302.0,6136.0,85755.0,231943.0,107404.0,124539.0,0.0791094114596837,0.0917303544912437,0.1708397659509274,340.446082082604,387.2047390777186,365.5525797286402,84787362.0,36565271.0,48222091.0,231943.0,0.1708397659509274,38354.0,,714.1965635918027,27392295.0,,
1,2024-08-01,Dominion Energy,108785.0,54.0,0.0004963919658041,3.0,40.0,5.0,2.0,6116.0,14152.0,7815.0,6337.0,0.071838948384428,0.0582525164314933,0.1300914648159213,1097.6166206014077,1219.8338093735206,1152.343184002261,16307960.74,8577873.89,7730086.85,23018.0,0.211591671645907,3115.0,,884.4938234349919,2755198.26,0.0,
2,2024-08-01,Duke Energy Carolinas,1916385.0,10151.0,0.0052969523347344,202.0,516.0,469.0,10583.0,139965.0,373806.0,182574.0,191232.0,0.0952700005479066,0.0997878818713358,0.1950578824192425,287.0235740028701,328.11383032128515,308.0445632226342,115148906.0,52403042.0,62745864.0,373806.0,0.1950578824192425,63703.0,,634.0336875814326,40389848.0,,
3,2024-07-01,Duke Energy Progress,1354646.0,5055.0,0.0037316022045611,97.0,290.0,234.0,5715.0,88348.0,251659.0,128284.0,123375.0,0.0946992793689273,0.0910754543991566,0.185774733768084,303.4633391537526,377.7854103343465,339.89949097787087,85538766.0,38929491.0,46609275.0,251659.0,0.185774733768084,38173.0,,716.3335865664213,27344602.0,,
4,2024-07-01,Dominion Energy,107779.0,33.0,0.0003061820948422,0.0,27.0,0.0,4.0,5783.0,19919.0,11248.0,8671.0,0.1043617031147069,0.0804516649811187,0.1848133680958257,906.2123284139402,1034.537504324761,962.0739479893568,19163550.97,10193076.27,8970474.7,21873.0,0.2029430594086046,3451.0,,925.9474789915968,3195444.75,0.0,
5,2024-07-01,Duke Energy Carolinas,1912012.0,8992.0,0.0047028993541881,181.0,507.0,412.0,9941.0,150250.0,400703.0,205723.0,194980.0,0.1075950360144183,0.1019763474287818,0.2095713834432001,259.77887742255365,315.5529336342189,286.9182436867206,114969001.0,53442490.0,61526511.0,400703.0,0.2095713834432001,61142.0,,627.0226358313435,38337418.0,,
6,2024-06-01,Duke Energy Progress,1351353.0,4890.0,0.0036185955853133,98.0,241.0,228.0,5878.0,77651.0,232470.0,105577.0,126893.0,0.0781268846852006,0.0939007054411393,0.17202759012634,255.6367011754454,386.8284775361919,327.24730933023613,76075182.0,26989356.0,49085826.0,232470.0,0.17202759012634,39301.0,,724.9488562631994,28491215.0,,
7,2024-06-01,Duke Energy Carolinas,1909330.0,8217.0,0.00430360388199,182.0,400.0,346.0,9886.0,133531.0,373143.0,176717.0,196426.0,0.0925544562752379,0.1028769254136267,0.1954313816888646,216.13754760436177,324.7597161271929,273.3172831863387,101986431.0,38195179.0,63791252.0,373143.0,0.1954313816888646,61262.0,,627.1425679866802,38420008.0,,
8,2024-06-01,Dominion Energy,108579.0,106.0,0.0009762477090413,6.0,71.0,12.0,2.0,5408.0,21556.0,12511.0,9045.0,0.1152248593190211,0.0833034012101787,0.1985282605291999,856.2901254895693,1004.1100840243228,918.3160822972724,19795221.470000003,10713045.760000002,9082175.71,20663.0,0.190303834074729,3717.0,,903.80532149583,3359444.38,0.0,
9,2024-05-01,Duke Energy Progress,1348684.0,5122.0,0.0037977762025797,93.0,249.0,224.0,5744.0,93077.0,236494.0,99965.0,136529.0,0.0741204018139163,0.1012312743385403,0.1753516761524567,255.178922622918,390.7434977184335,333.44093296235843,78856780.0,25508961.0,53347819.0,236494.0,0.1753516761524567,40267.0,,737.4418754811633,29694572.0,,
10,2024-05-01,Duke Energy Carolinas,1905258.0,7914.0,0.004153768151085,137.0,392.0,319.0,9714.0,155890.0,376967.0,166292.0,210675.0,0.0872805677761227,0.1105755755913372,0.1978561433674599,222.07408053303828,323.3812744749021,278.6914849310417,105057493.0,36929143.0,68128350.0,376967.0,0.1978561433674599,62170.0,,633.7285024931639,39398901.0,,
11,2024-05-01,Dominion Energy,108598.0,172.0,0.0015838229064991,9.0,110.0,13.0,3.0,7116.0,21649.0,12954.0,8695.0,0.1192839647138989,0.0800659312326193,0.1993498959465183,859.7414729041224,1041.1697883841289,932.6094669499748,20190062.35,11137091.04,9052971.31,23395.0,0.2154275401020276,3403.0,,897.6489244784015,3054699.29,0.0,
12,2024-04-01,Dominion Energy,108575.0,232.0,0.0021367718167165,3.0,116.0,12.0,3.0,7006.0,14560.0,8526.0,6034.0,0.0785263642643334,0.0555744876813262,0.1341008519456596,1042.392182735163,1199.1109164733175,1107.3400425824177,16122871.02,8887435.75,7235435.27,25052.0,0.2307345153119963,3430.0,,979.6972419825072,3360361.54,0.0,
13,2024-04-01,Duke Energy Carolinas,1901211.0,6023.0,0.003167980829061,120.0,285.0,247.0,9686.0,145357.0,407393.0,203715.0,203678.0,0.1071501269454048,0.1071306656651997,0.2142807926106045,252.4399381488845,327.4361393964984,289.9346331429357,118117340.0,51425802.0,66691538.0,407393.0,0.2142807926106045,58134.0,,635.5763408676506,36948595.0,,
14,2024-04-01,Duke Energy Progress,1345640.0,3976.0,0.0029547278618352,94.0,237.0,238.0,5564.0,84528.0,259612.0,127776.0,131836.0,0.0949555601795428,0.097972711869445,0.1929282720489878,290.37425651139495,396.1867092448193,344.1078686655471,89334532.0,37102861.0,52231671.0,259612.0,0.1929282720489878,37918.0,,741.3012817131705,28108662.0,,
15,2024-03-01,Dominion Energy,108567.0,96.0,0.0008842465942689,5.0,50.0,7.0,0.0,6293.0,21997.0,13224.0,8773.0,0.1218049683605515,0.0808072434533513,0.2026122118139029,865.8636373260738,1015.0356001367832,925.357460562804,20355088.06,11450180.74,8904907.319999998,24461.0,0.22530787440014,2355.0,,782.9554352441613,1843860.05,0.0,0.0
16,2024-03-01,Duke Energy Progress,1342367.0,3642.0,0.0027131179476253,52.0,184.0,207.0,5577.0,61648.0,247875.0,110629.0,137246.0,0.0824133787555862,0.1022417863371194,0.1846551650927056,373.98996646448944,374.84074581408566,374.461034795764,92819529.0,41374136.0,51445393.0,247875.0,0.1846551650927056,38973.0,,727.5492263874991,28354776.0,66.0,
17,2024-03-01,Duke Energy Carolinas,1896647.0,7476.0,0.0039416928927734,121.0,358.0,405.0,9851.0,95909.0,388777.0,186797.0,201980.0,0.0984880159565802,0.1064931956236453,0.2049812115802255,302.33989303896743,313.327725517378,308.0483644865823,119762119.0,56476185.0,63285934.0,388777.0,0.2049812115802255,59571.0,,617.2356347887395,36769344.0,90.0,
18,2024-02-01,Dominion Energy,108599.0,41.0,0.0003775357047486,0.0,8.0,5.0,0.0,7196.0,21546.0,12863.0,8683.0,0.1184449212239523,0.0799546957154301,0.1983996169393825,852.9826999922257,1001.002170908672,912.6342857142856,19663618.32,10971916.47,8691701.85,,,3893.0,,971.1610043668122,3780729.79,0.0,0.0
19,2024-02-01,Duke Energy Progress,1339950.0,5010.0,0.0037389454830404,118.0,300.0,239.0,5616.0,55616.0,244715.0,122917.0,121798.0,0.0917325273331094,0.09089742154558,0.1826299488786895,372.68525102304807,366.5121020049591,369.6127903888196,90449794.0,45809353.0,44640441.0,244715.0,0.1826299488786895,39800.0,,693.7048994974874,27609455.0,63.0,
20,2024-02-01,Duke Energy Carolinas,1893850.0,8580.0,0.0045304538374211,214.0,460.0,316.0,9659.0,124439.0,375054.0,185965.0,189089.0,0.0981941547641048,0.0998437046228582,0.198037859386963,302.47042723093057,296.0836167095917,299.2504226058114,112235068.0,56248913.0,55986155.0,375054.0,0.198037859386963,61442.0,,580.2146251749617,35649547.0,86.0,
21,2024-01-01,Dominion Energy,108433.0,4.0,3.688913891527487e-05,2.0,0.0,2.0,0.0,6027.0,7219.0,3809.0,3410.0,0.0351276825320704,0.0314479909252718,0.0665756734573423,1419.1766500393803,1466.6425747800586,1441.597872281479,10406895.04,5405643.86,5001251.18,26101.0,0.2407108537068973,3618.0,,930.6980458817026,3367265.53,0.0,0.0
22,2024-01-01,Duke Energy Progress,1337805.0,4034.0,0.0030153871453612,56.0,199.0,229.0,5350.0,105768.0,225190.0,98947.0,126243.0,0.0739621992741842,0.0943657707961922,0.1683279700703764,336.55572175002777,341.32201389383965,339.2277365780008,76390694.0,33301179.0,43089515.0,225190.0,0.1683279700703764,39225.0,,668.7493690248566,26231694.0,53.0,
23,2024-01-01,Duke Energy Carolinas,1889740.0,3520.0,0.0018626901055171,63.0,131.0,145.0,9366.0,177843.0,386964.0,181938.0,205026.0,0.0962767364822674,0.1084942902198186,0.204771026702086,275.7991348701206,272.6559460751319,274.1337721338419,106079901.0,50178343.0,55901558.0,386964.0,0.204771026702086,59547.0,,550.7036626530304,32792751.0,71.0,
24,2023-12-01,Duke Energy Progress,1334978.0,3225.0,0.002415770147523,63.0,171.0,191.0,5469.0,56650.0,233617.0,99059.0,134558.0,0.0742027209437159,0.1007941703908229,0.1749968913345388,252.2700915615946,354.9853594732383,311.4317151577154,72755743.0,24989623.0,47766120.0,233617.0,0.1749968913345388,40576.0,,670.8644518927445,27220996.0,37.0,
25,2023-12-01,Duke Energy Carolinas,1886617.0,6345.0,0.0033631627405032,130.0,318.0,343.0,9828.0,95990.0,402063.0,204099.0,197964.0,0.1081825298934548,0.104930677503701,0.2131132073971558,203.58551487268437,282.5200996140712,242.4505836150056,97480409.0,41551600.0,55928809.0,402063.0,0.2131132073971558,61865.0,,550.8832781055524,34080394.0,58.0,
26,2023-12-01,Dominion Energy,108262.0,0.0,0.0,0.0,0.0,0.0,0.0,3743.0,9025.0,4807.0,4218.0,0.0444015444015444,0.0389610389610389,0.0833625833625833,1276.0198398169337,1336.9277785680415,1304.4862869806095,11772988.74,6133827.37,5639161.37,24263.0,0.2241137241137241,2948.0,,854.315817503392,2518523.03,0.0,0.0
27,2023-11-01,Dominion Energy,108176.0,0.0,0.0,0.0,0.0,0.0,0.0,3553.0,10650.0,5696.0,4954.0,0.0526549327022629,0.0457957402751072,0.0984506729773702,1171.1205073735955,1231.4315058538557,1199.175031924883,12771214.09,6670702.41,6100511.68,26130.0,0.2415508060937731,3360.0,,879.2722261904762,2954354.68,0.0,0.0
28,2023-11-01,Duke Energy Progress,1333007.0,4982.0,0.0037374147322557,103.0,334.0,232.0,5618.0,77447.0,247713.0,112864.0,134849.0,0.0846687226698734,0.1011615092793961,0.1858302319492696,254.61687517720443,375.0875942721117,320.19823747643443,79317266.0,28737079.0,50580187.0,247713.0,0.1858302319492696,40971.0,,671.2704107783554,27502620.0,21.0,
